Tamano,Tiempo,PosicionEncontrada 
1024,40,566 
2048,80,920 
4096,0,2175 
8192,0,3865 
16384,263,8028 
32768,325,15809 
65536,248,35267 
131072,85,63590 
262144,188,141027 
524288,70,244517 
1048576,64,486197 
