Tamano,Tiempo,PosicionEncontrada 
1024,53,566 
2048,39,920 
4096,0,2175 
8192,84,3865 
16384,0,8028 
32768,0,15809 
65536,42,35267 
131072,195,63590 
262144,92,141027 
524288,32,244517 
1048576,0,486197 
