PosicionReal,Tiempo,PairUsado 
94097,0,0 
162289,240,1 
322791,93,2 
486197,72,3 
721423,25,4 
820941,0,5 
1011229,62,6 
-1,47,7 
-1,332,8 
-1,91,9 
