PosicionReal,Tiempo,PairUsado 
94097,0,0 
162289,0,1 
322791,0,2 
486197,0,3 
721423,156,4 
820941,158,5 
1011229,168,6 
-1,0,7 
-1,158,8 
-1,147,9 
